product_name,ingredients_text,serving_size
Natural Monterey Jack Cheese,"Pasteurized milk, cheese culture, slat and enzymes.",28 g (1 oz)
New York Sharp Cheddar Cheese,"Pasteurized milk, cheese culture, salt, enzymes and annatto [vegetable color]",28 g (1 oz)
Colby Jack,"Pasteurized milk, cheese cultures, salt, enzymes and annatto [vegetable color].",28 g (1 oz)
String Mozzarella Cheese,"Pasteurized part skim milk, cheese cultures, salt, enzymes.",28 g (28 g)
"Cream Cheese Spread, Original","Pasteurized milk and cream, whey, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums), sorbic acid (preservative).",30 g (2 Tbsp)
"Country Style Orange Juice From Concentrate, Orange","100% orange juice from concentrate (filtered water, concentrated orange juice), orange juice pulp.",240 ml (8 fl oz)
"Orange Juice, Orange","100% orange juice from concentrate (filtered water, concentrated orange juice), tricalcium phosphate*, calcium lactate*, vitamin d3*.",240 ml (8 fl oz)
"Pure Premium Graperfruit Juice, Ruby Red",100% pure and natural grapefruit juice.,240 ml (8 fl oz)
Sliced Strawberries In Sugar,"Strawberries, sugar syrup (water and sugar).",140 g (0.5 cup)
Old Fashioned Hardwood Smoked Bacon,"Ingredients: bacon (cured with water, salt, sugar, smoke flavoring, sodium phosphate, sodium erythorbate, sodium nitrite).",15 g (15 g)
Deli Selections Provolone Cheese,"Pasteurized milk, cheese culture, salt and enzymes.",21 g (21 g)
100% Grated Parmesan Cheese,"Cow's milk, cheese culture, salt, enzymes. powdered cellulose added to prevent caking.",5 g (2 tsp)
100% Grated Parmesan Cheese,"Parmesan cheese (cultured, pasteurized part-skim milk, salt, enzymes), powdered cellulose (added to prevent caking), potassium sorbate (a preservative).",5 g (2 tsp)
"Cream Cheese, Original","Pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan guar gums).",28 g (1 oz)
Fat Free Yogurt,"Cultures pasteurized grade a nonfat milk, modified food starch, gelatin.",227 g (1 cup)
Pulp Free Orange Juice,"100% orange juice from concentrate (filtered water, concentrated orange juice).",240 ml (8 fl oz)
"Pure Michigan, Fat Free Milk","Fat free milk, vitamin a palmitate, vitamin d3.",240 ml (1 cup)
Pure Michigan Vitamin A & D Fat Free Milk,"Fat free milk, vitamin a plamitate, vitamin d3.",240 ml (1 cup)
"Baked Beans, Maple Cured Bacon","Prepared white beans, water, sugar, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder).",130 g (0.5 cup)
"Garbanzo Beans, Chick Peas","Prepared chick peas, water, salt, calcium chloride (firming agent), disodium edta to promote color retention.",130 g (0.5 cup)
Mozzarella String Cheese,"Pasteurized part skim milk,cheese cultures, salt, enzymes.",28 g (28 g)
"Diced Green Chilies, Mild","Green chiles, water, salt, citric acid, calcium chloride.",28 g (1 oz)
Sliced Jalapeno Peppers Pickels,"Jalapeno peppers, water, distilled vinegar, salt, calcium chloride, garlic.",30 g (3 Tbsp)
"Jelly, Concord Grape","Concord grape juice (water and concord grape juice concentrate ), corn syrup, high fructose corn syrup,pectin,citric acid,sodium citrate",20 g (1 Tbsp)
Diced Pears,"Diced pears, water, sugar, ascorbic acid (vitamin c) to protect color, citric acid.",113 g (113 g)
Colby Jack Stick Cheese,"Pasteurized milk, cheese cultures, salt, enzymes, annatto color.",24 g (24 g)
Candy Chews,"Corn syrup, sugar, coconut oil, salt, soy lecithin, egg whites, artificial banana flavor, fd&c yellow 5.",40 g (40 g)
Chocolate Peanut Clusters,"Peanuts, milk chocolate [sugar, cocoa butter, chocolate liquor, milk, soy lecithin, vanillin (artificial flavor)].",42 g (3 PIECES)
"Flavored Mints, Peppermint","Sugar, corn syrup, dextrose, gum arabic, gum tragacanth, peppermint oil.",1 g (1 g)
Candy Gummies,"Corn syrup, sugar, corn starch, modified corn starch, artificial cherry flavor, artificial colors (red 40), carnauba wax.",40 g (40 GRM)
Cool Fresh Mint,"Sugar, corn syrup, dextrose, gelatin, peppermint oil, vegetable gums (gum tragacanth, arabic and xanthan), & fd&c red 3.",2 g (2 GRM)
Hot Hearts Candy,"Sugar, corn syrup, dextrose, glycerine, artificial cinnamon flavor, gelatin, vegetable gums [tragacanth, xanthan and arabic], artificial colors [red 40].",14 g (14 PIECES)
"Necco, Old Fashioned Candy Buttons","Sugar, corn starch, gelatin, artificial flavors, coconut oil, fd&c colors [red 3, yellow 5, blue 1].",7 g (7 g)
"Necco, Canada Mints","Sugar, corn syrup, dextrose, glycerine, gelatin, vegetable gums [gum tragacanth, arabic & xanthan], peppermint oil.",6 g (6 g)
Real Chocolate Nonpareils,"Sweet chocolate [sugar, chocolate liquor, cocoa butter, soy lecithin (emulsifier), vanillin (artificial flavor)], seeds [seeds contain sugar & corn starch].",49 g (12 PIECES)
"63% Cacao Dark Chocolate Covered With Thins Mints, Thin Mints","Sugar, bittersweet chocolate [chocolate liquor, sugar, cocoa butter, anhydrous milk fat, soy lecithin], corn syrup, egg whites, peppermint oil, invertase.",42 g (42 g)
"Haviland, Dark Chocolate Covered Thin Mints","Sugar, bittersweet chocolate [chocolate liquor, sugar, cocoa butter, butter oil, soy lecithin], corn syrup, peppermint oil, soy protein, invertase.",42 g (42 g)
Diced Tomatoes,"Tomatoes, tomato juice, salt, calcium chloride, citric acid.",121 g (0.5 cup)
Premium Chunk White Chicken In Water,"White chicken meat, water, modified corn starch, salt, sodium phosphates.",56 g (2 oz)
"Fruit Cocktail, In Light Syrup","Diced peaches, diced pears, water, grapes, corn syrup, pineapple segments, halved cherries artificially colored red with carmine and sugar.",126 g (0.5 cup)
Mustard,"Distilled vinegar, no. 1 mustard seed, salt, turmeric and spice.",5 g (1 tsp)
"Potato Chips, Original","Potatoes, sunflower oil and/or corn oil, salt",28 g (28 g)
"Hot Sauce, Louisiana Style","Aged red cayenne peppers, distilled vinegar, salt, xanthan gum.",5 ml (1 tsp)
