product_name,ingredients_text,serving_size,review,disease_conditions
Natural Monterey Jack Cheese,"Pasteurized milk, cheese culture, slat and enzymes.",28 g (1 oz),,
New York Sharp Cheddar Cheese,"Pasteurized milk, cheese culture, salt, enzymes and annatto [vegetable color]",28 g (1 oz),"This product is a processed cheese with minimal nutritional value. It contains saturated fat from the pasteurized milk, which may increase cholesterol levels and heart disease risk. The high sodium content from salt can be problematic for individuals with hypertension or those who are sensitive to salt intake.","heart disease, hypertension"
Colby Jack,"Pasteurized milk, cheese cultures, salt, enzymes and annatto [vegetable color].",28 g (1 oz),"This product is a processed cheese with minimal nutritional value. It contains pasteurized milk, which has been heat-treated to kill bacteria, but may also destroy some beneficial nutrients. The addition of salt and enzymes can be detrimental to health in excess amounts. Annatto, the vegetable color, is generally considered safe for consumption.","High sodium content may exacerbate hypertension., May worsen insulin resistance in individuals with diabetes., Excessive saturated fat intake from cheese cultures may increase cardiovascular disease risk."
String Mozzarella Cheese,"Pasteurized part skim milk, cheese cultures, salt, enzymes.",28 g (28 g),"This product is a processed dairy item that contains pasteurized part-skim milk, cheese cultures, salt, and enzymes. The serving size of 28g provides approximately 70 calories, 6g of protein, and 5% of the daily value for calcium. While it may be a convenient option for those looking to increase their dairy intake, there are some potential health concerns associated with this product. The high sodium content (10% of the daily value per serving) may be problematic for individuals with hypertension or heart disease.","Hypertension, Heart Disease"
"Cream Cheese Spread, Original","Pasteurized milk and cream, whey, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums), sorbic acid (preservative).",30 g (2 Tbsp),"This product is a processed dairy item that contains some beneficial nutrients like protein and calcium. However, it also includes preservatives like sorbic acid which may be detrimental to health in large quantities. The presence of stabilizers like carob bean and xanthan gums may cause digestive issues in some individuals.","Diabetes: High sugar content, Hypertension: High sodium content, Allergies: Contains dairy products"
"Country Style Orange Juice From Concentrate, Orange","100% orange juice from concentrate (filtered water, concentrated orange juice), orange juice pulp.",240 ml (8 fl oz),"This 100% orange juice from concentrate is a good source of vitamin C and potassium. However, it is high in natural sugars and lacks fiber, which may cause a rapid spike in blood sugar levels. Consuming high amounts regularly can lead to an increased risk of tooth decay and contribute to weight gain due to its high calorie content.","Diabetes, Obesity"
"Orange Juice, Orange","100% orange juice from concentrate (filtered water, concentrated orange juice), tricalcium phosphate*, calcium lactate*, vitamin d3*.",240 ml (8 fl oz),"This 100% orange juice from concentrate is a good source of essential vitamins and minerals like vitamin C, potassium, and folate. However, it lacks the beneficial fiber found in whole oranges. The addition of tricalcium phosphate, calcium lactate, and vitamin D3 may be beneficial for bone health, but excessive intake can lead to an imbalance of calcium levels. Potential health threats include high sugar content (28g per serving) which can contribute to obesity, diabetes, and heart disease.","diabetes, heart disease, obesity"
"Pure Premium Graperfruit Juice, Ruby Red",100% pure and natural grapefruit juice.,240 ml (8 fl oz),"Grapefruit juice is a good source of vitamin C and flavonoids, which may help lower cholesterol levels and improve blood sugar control. However, it also contains high amounts of sugar and acid, which can be detrimental to dental health and digestive system if consumed excessively.","Diabetes: Grapefruit juice may interact with certain diabetes medications, such as metformin, and increase the risk of hypoglycemia., Hypertension: The high sodium content in grapefruit juice may exacerbate hypertension symptoms., Obesity: Consuming large amounts of grapefruit juice daily can lead to excessive sugar intake and contribute to weight gain."
Sliced Strawberries In Sugar,"Strawberries, sugar syrup (water and sugar).",140 g (0.5 cup),"This dessert-like snack is high in natural sweetness from strawberries but also contains added sugars from the sugar syrup. While strawberries are a good source of vitamin C and antioxidants, the excessive sugar content may lead to a rapid spike in blood sugar levels.","Diabetes, Obesity"
Old Fashioned Hardwood Smoked Bacon,"Ingredients: bacon (cured with water, salt, sugar, smoke flavoring, sodium phosphate, sodium erythorbate, sodium nitrite).",15 g (15 g),"This serving of bacon contains high amounts of sodium and preservatives like sodium nitrite, which have been linked to potential health threats. Consuming excessive sodium can increase blood pressure, leading to hypertension and heart disease. Sodium nitrite has also been associated with increased risk of colorectal cancer and neurodegenerative diseases. Additionally, the presence of smoke flavoring may indicate exposure to polycyclic aromatic hydrocarbons (PAHs), known carcinogens.","hypertension, heart disease, colorectal cancer"
Deli Selections Provolone Cheese,"Pasteurized milk, cheese culture, salt and enzymes.",21 g (21 g),"This product is a type of processed cheese, which can be high in sodium and saturated fat. While it may be a convenient addition to meals, regular consumption can lead to an increased risk of heart disease due to its high calorie and fat content. Additionally, the pasteurization process can destroy some beneficial nutrients found in raw milk.","heart disease, obesity"
100% Grated Parmesan Cheese,"Cow's milk, cheese culture, salt, enzymes. powdered cellulose added to prevent caking.",5 g (2 tsp),,
100% Grated Parmesan Cheese,"Parmesan cheese (cultured, pasteurized part-skim milk, salt, enzymes), powdered cellulose (added to prevent caking), potassium sorbate (a preservative).",5 g (2 tsp),,
"Cream Cheese, Original","Pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan guar gums).",28 g (1 oz),,
Fat Free Yogurt,"Cultures pasteurized grade a nonfat milk, modified food starch, gelatin.",227 g (1 cup),"This product is a low-fat milk alternative that appears to be a processed dairy product. The presence of modified food starch and gelatin may indicate added preservatives or thickeners. While it contains nonfat milk, which can provide calcium and protein, the processing may negate some of its natural benefits. Potential health threats include an increased risk of digestive issues due to the modified ingredients.","diabetes, obesity"
Pulp Free Orange Juice,"100% orange juice from concentrate (filtered water, concentrated orange juice).",240 ml (8 fl oz),"This 100% orange juice from concentrate is a good source of vitamin C and potassium. However, it is high in natural sugars and lacks the fiber found in whole oranges. Consuming high amounts regularly can lead to an excessive sugar intake, potentially contributing to weight gain, insulin resistance, and an increased risk of developing type 2 diabetes.","diabetes, obesity"
"Pure Michigan, Fat Free Milk","Fat free milk, vitamin a palmitate, vitamin d3.",240 ml (1 cup),"This serving of fat-free milk is a good source of calcium and vitamins A and D. It can help support bone health and immune function. However, it may not provide enough calories or protein for individuals with high energy needs. Additionally, some brands of vitamin D3 may contain high levels of cholecalciferol, which can be toxic in large amounts.","Diabetes: May cause a spike in blood sugar due to its natural sugars., Hypertension: High consumption may lead to an increase in sodium intake., Obesity: Consuming excessive amounts can contribute to weight gain."
Pure Michigan Vitamin A & D Fat Free Milk,"Fat free milk, vitamin a plamitate, vitamin d3.",240 ml (1 cup),"This serving of fat-free milk, fortified with vitamins A and D, is a relatively healthy choice. It provides essential nutrients for bone health and immune function. However, it's worth noting that some brands may contain added sugars or artificial flavorings, which can be detrimental to overall health.","Diabetes: High consumption of fat-free milk may lead to an increased risk of diabetes due to the potential for high sugar content., Hypertension: Excessive calcium intake from fortified milk products has been linked to an increased risk of hypertension in some individuals."
"Baked Beans, Maple Cured Bacon","Prepared white beans, water, sugar, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder).",130 g (0.5 cup),,
"Garbanzo Beans, Chick Peas","Prepared chick peas, water, salt, calcium chloride (firming agent), disodium edta to promote color retention.",130 g (0.5 cup),"This product is a well-balanced and nutrient-rich food option. Chickpeas are an excellent source of protein, fiber, and various essential vitamins and minerals such as folate, iron, and zinc. They also contain antioxidants that can help protect against oxidative stress and inflammation in the body. The addition of calcium chloride acts as a firming agent without adding extra salt or sugar content. However, it's worth noting that disodium EDTA is used to promote color retention, which may be a concern for some consumers due to potential links to allergic reactions.","Diabetes: High fiber and protein content can help regulate blood sugar levels., Hypertension: Potassium content in chickpeas can help lower blood pressure., Allergies: Disodium EDTA may cause allergic reactions in sensitive individuals."
Mozzarella String Cheese,"Pasteurized part skim milk,cheese cultures, salt, enzymes.",28 g (28 g),,
"Diced Green Chilies, Mild","Green chiles, water, salt, citric acid, calcium chloride.",28 g (1 oz),,
Sliced Jalapeno Peppers Pickels,"Jalapeno peppers, water, distilled vinegar, salt, calcium chloride, garlic.",30 g (3 Tbsp),"This condiment appears to be a relatively low-calorie and low-fat food. However, it contains high amounts of sodium from the salt and calcium chloride, which may be a concern for individuals with hypertension or those who are sensitive to excessive sodium intake. The jalapeno peppers add some vitamin C and antioxidants, but their high water content may dilute the overall nutrient density. Additionally, the distilled vinegar can be acidic and potentially irritating to digestive systems. For people with diabetes, the condiment's high acidity may cause blood sugar spikes. Those with heart disease or obesity should be cautious of excessive sodium intake.","hypertension, diabetes"
"Jelly, Concord Grape","Concord grape juice (water and concord grape juice concentrate ), corn syrup, high fructose corn syrup,pectin,citric acid,sodium citrate",20 g (1 Tbsp),,
Diced Pears,"Diced pears, water, sugar, ascorbic acid (vitamin c) to protect color, citric acid.",113 g (113 g),,
Colby Jack Stick Cheese,"Pasteurized milk, cheese cultures, salt, enzymes, annatto color.",24 g (24 g),"This product appears to be a processed cheese ingredient. The primary ingredients are pasteurized milk and cheese cultures, which suggests that it is a type of processed cheese product. The addition of salt and enzymes indicates that it may have been designed to enhance flavor and texture. However, the presence of annatto color raises concerns about potential artificial additives.","Diabetes: High in saturated fat and sodium., Heart Disease: High in saturated fat and sodium., Obesity: High in calories and saturated fat., Hypertension: High in sodium."
Candy Chews,"Corn syrup, sugar, coconut oil, salt, soy lecithin, egg whites, artificial banana flavor, fd&c yellow 5.",40 g (40 g),,
Chocolate Peanut Clusters,"Peanuts, milk chocolate [sugar, cocoa butter, chocolate liquor, milk, soy lecithin, vanillin (artificial flavor)].",42 g (3 PIECES),"This snack is a mix of healthy and unhealthy ingredients. Peanuts are a good source of protein and healthy fats, but they are high in calories. Milk chocolate contains added sugars, which can lead to weight gain, insulin resistance, and increased risk of chronic diseases like diabetes and heart disease. The artificial flavor vanillin may also be detrimental to overall health.","diabetes, heart disease, obesity"
"Flavored Mints, Peppermint","Sugar, corn syrup, dextrose, gum arabic, gum tragacanth, peppermint oil.",1 g (1 g),,
Candy Gummies,"Corn syrup, sugar, corn starch, modified corn starch, artificial cherry flavor, artificial colors (red 40), carnauba wax.",40 g (40 GRM),,
Cool Fresh Mint,"Sugar, corn syrup, dextrose, gelatin, peppermint oil, vegetable gums (gum tragacanth, arabic and xanthan), & fd&c red 3.",2 g (2 GRM),"This product contains a mixture of refined sugars and artificial sweeteners that can lead to a rapid spike in blood sugar levels. The presence of FD&C Red 3, an artificial food dye linked to hyperactivity and potential cancer risks, is also concerning. Additionally, the use of gelatin may be problematic for individuals with dietary restrictions or preferences.","Diabetes, Obesity, Hypertension"
Hot Hearts Candy,"Sugar, corn syrup, dextrose, glycerine, artificial cinnamon flavor, gelatin, vegetable gums [tragacanth, xanthan and arabic], artificial colors [red 40].",14 g (14 PIECES),"This product contains a high amount of added sugars in the form of sugar, corn syrup, and dextrose. The presence of glycerine may also contribute to an increase in calorie intake. Artificial flavors and colors can be detrimental to overall health due to potential carcinogenic effects. Vegetable gums are generally considered safe but may cause gastrointestinal issues in some individuals. Gelatin is a common allergen that can trigger severe reactions in people with dietary restrictions.","diabetes, obesity"
"Necco, Old Fashioned Candy Buttons","Sugar, corn starch, gelatin, artificial flavors, coconut oil, fd&c colors [red 3, yellow 5, blue 1].",7 g (7 g),"This product contains a mixture of unhealthy ingredients that can pose significant health risks. The high sugar content is a major concern, as excessive sugar consumption has been linked to obesity, diabetes, and heart disease. Corn starch is also high on the glycemic index, which can cause a rapid spike in blood sugar levels. Artificial flavors and colors (Red 3, Yellow 5, Blue 1) are potential carcinogens and have been associated with hyperactivity in children. Gelatin may be problematic for individuals with allergies or digestive issues. Coconut oil is high in saturated fats, which can increase cholesterol levels and heart disease risk.","diabetes, heart disease, obesity"
"Necco, Canada Mints","Sugar, corn syrup, dextrose, glycerine, gelatin, vegetable gums [gum tragacanth, arabic & xanthan], peppermint oil.",6 g (6 g),"This product contains a mixture of added sugars and sweeteners that can be detrimental to overall health. The high sugar content can lead to an increased risk of obesity, type 2 diabetes, and heart disease due to its impact on insulin sensitivity and blood lipid profiles. Additionally, the presence of corn syrup and dextrose indicates a high glycemic index, which can cause spikes in blood glucose levels.","obesity, diabetes"
Real Chocolate Nonpareils,"Sweet chocolate [sugar, chocolate liquor, cocoa butter, soy lecithin (emulsifier), vanillin (artificial flavor)], seeds [seeds contain sugar & corn starch].",49 g (12 PIECES),"This sweet treat is a combination of refined sugars and saturated fats from the chocolate liquor and cocoa butter. The added soy lecithin can cause digestive issues in some individuals. Consuming 12 pieces at once exceeds the daily recommended intake for sugar, posing a risk to dental health and increasing the likelihood of weight gain and obesity.","obesity, diabetes"
"63% Cacao Dark Chocolate Covered With Thins Mints, Thin Mints","Sugar, bittersweet chocolate [chocolate liquor, sugar, cocoa butter, anhydrous milk fat, soy lecithin], corn syrup, egg whites, peppermint oil, invertase.",42 g (42 g),,
